sample_idx,bus_pos,bus_id,bus_type,saved_state_valid,replay_state_valid,state_valid_match,Pd_saved,Pd_replay,Pd_abs_err,Qd_saved,Qd_replay,Qd_abs_err,Pg_saved,Pg_replay,Pg_abs_err,Qg_saved,Qg_replay,Qg_abs_err,Vm_saved,Vm_replay,Vm_abs_err,Va_saved,Va_replay,Va_abs_err
5850,0,0,PQ,True,True,True,122.04127993406792,122.04127993406792,0.0,55.26869439637092,55.26869439637092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0271365921466404,1.0271365921466407,2.220446049250313e-16,-1.0532138925686199,-1.0532138925686068,1.3100631690576847e-14
5850,1,1,PQ,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.030001109218372,1.0300011092183718,2.220446049250313e-16,5.7055513786039675,5.705551378603992,2.4868995751603507e-14
5850,2,2,PQ,True,True,True,257.01493136102425,257.01493136102425,0.0,1.9156392399579447,1.9156392399579447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991693407015066,0.999169340701506,6.661338147750939e-16,2.995929558412608,2.995929558412629,2.0872192862952943e-14
5850,3,3,PQ,True,True,True,715.2961928355015,715.2961928355015,0.0,263.22899896346456,263.22899896346456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9620447364118958,0.9620447364118944,1.4432899320127035e-15,-1.5252391710397115,-1.5252391710397026,8.881784197001252e-15
5850,4,4,PQ,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975470958477467,0.9754709584774648,2.220446049250313e-15,-1.856124499264061,-1.8561244992640542,6.8833827526759706e-15
5850,5,5,PQ,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804024611655123,0.98040246116551,2.3314683517128287e-15,-1.2864737854416313,-1.2864737854416215,9.769962616701378e-15
5850,6,6,PQ,True,True,True,205.1597682168264,205.1597682168264,0.0,73.71009636532685,73.71009636532685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679606078595372,0.9679606078595347,2.4424906541753444e-15,-3.8888247183775113,-3.8888247183775113,0.0
5850,7,7,PQ,True,True,True,718.4770682766273,718.4770682766273,0.0,243.07097750508117,243.07097750508117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657641047528207,0.9657641047528184,2.3314683517128287e-15,-4.641270584340854,-4.641270584340861,6.217248937900877e-15
5850,8,8,PQ,True,True,True,4.776495010932905,4.776495010932905,0.0,-48.94070272740484,-48.94070272740484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0229023889612445,1.0229023889612439,6.661338147750939e-16,-4.042913026478246,-4.0429130264782405,5.329070518200751e-15
5850,9,9,PQ,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974362941086798,0.9974362941086781,1.7763568394002505e-15,4.295370879514529,4.295370879514563,3.375077994860476e-14
5850,10,10,PQ,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9894220161282362,0.9894220161282343,1.887379141862766e-15,2.4521025582127676,2.452102558212795,2.7533531010703882e-14
5850,11,11,PQ,True,True,True,9.55402085988363,9.55402085988363,0.0,98.56434181357088,98.56434181357088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975732688277892,0.9757326882778903,1.6653345369377348e-15,3.2571096531661676,3.2571096531661987,3.108624468950438e-14
