bus_id,bus_type,state_valid,Vm_stored,Vm_pp,Vm_err,Va_stored,Va_pp,Va_err,Pd_stored,Pd_pp,Pd_err,Qd_stored,Qd_pp,Qd_err,Pg_stored,Pg_pp,Pg_err,Qg_stored,Qg_pp_res,Qg_err_vs_res,sample_idx
0,PQ,True,1.027667,1.027667,0.0,6.863,6.863,0.0,136.2697,136.2697,0.0,61.7123,61.7123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
1,PQ,True,1.026203,1.026203,0.0,11.01,11.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
2,PQ,True,1.004548,1.004548,0.0,6.3377,6.3377,0.0,333.4921,333.4921,0.0,2.4857,2.4857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
3,PQ,True,0.986892,0.986892,0.0,2.352,2.352,0.0,545.7989,545.7989,0.0,200.854,200.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
4,PQ,True,0.994816,0.994816,0.0,1.5658,1.5658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
5,PQ,True,0.99785,0.99785,0.0,1.7852,1.7852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
6,PQ,True,0.987523,0.987523,0.0,0.0775,0.0775,0.0,267.6026,267.6026,0.0,96.1447,96.1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
7,PQ,True,0.987384,0.987384,0.0,-0.0774,-0.0774,0.0,498.603,498.603,0.0,168.6845,168.6845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
8,PQ,True,1.029722,1.029722,0.0,3.6212,3.6212,0.0,4.0144,4.0144,0.0,-41.1323,-41.1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
9,PQ,True,1.008365,1.008365,0.0,5.9707,5.9707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
10,PQ,True,1.003454,1.003454,0.0,4.5715,4.5715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
11,PQ,True,0.995716,0.995716,0.0,5.0208,5.0208,0.0,6.2345,6.2345,0.0,64.3185,64.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
12,PQ,True,1.004545,1.004545,0.0,5.5667,5.5667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
13,PQ,True,0.998124,0.998124,0.0,4.7281,4.7281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
14,PQ,True,0.999917,0.999917,0.0,6.8745,6.8745,0.0,249.9574,249.9574,0.0,119.5109,119.5109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
15,PQ,True,1.012911,1.012911,0.0,9.0732,9.0732,0.0,492.8247,492.8247,0.0,48.3837,48.3837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
16,PQ,True,1.003614,1.003614,0.0,8.5697,8.5697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
17,PQ,True,1.001631,1.001631,0.0,7.1081,7.1081,0.0,212.8557,212.8557,0.0,40.4156,40.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
18,PQ,True,1.041128,1.041128,0.0,15.4438,15.4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
19,PQ,True,0.985177,0.985177,0.0,14.4684,14.4684,0.0,703.7652,703.7652,0.0,106.5997,106.5997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63697
