bus_id,bus_type,state_valid,Vm_stored,Vm_pp,Vm_err,Va_stored,Va_pp,Va_err,Pd_stored,Pd_pp,Pd_err,Qd_stored,Qd_pp,Qd_err,Pg_stored,Pg_pp,Pg_err,Qg_stored,Qg_pp_res,Qg_err_vs_res,sample_idx
0,PQ,True,1.041085,1.041085,0.0,-15.6413,-15.6413,0.0,60.7436,60.7436,0.0,27.5089,27.5089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
1,PQ,True,1.052377,1.052377,0.0,-9.8112,-9.8112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
2,PQ,True,1.029515,1.029515,0.0,-9.8225,-9.8225,0.0,321.1569,321.1569,0.0,2.3937,2.3937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
3,PQ,True,1.010082,1.010082,0.0,-8.5067,-8.5067,0.0,278.2799,278.2799,0.0,102.407,102.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
4,PQ,True,1.010223,1.010223,0.0,-7.9413,-7.9413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
5,PQ,True,1.011702,1.011702,0.0,-7.2914,-7.2914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
6,PQ,True,1.00238,1.00238,0.0,-9.7895,-9.7895,0.0,308.8156,308.8156,0.0,110.9517,110.9517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
7,PQ,True,1.003633,1.003633,0.0,-10.2589,-10.2589,0.0,300.7416,300.7416,0.0,101.7451,101.7451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
8,PQ,True,1.034241,1.034241,0.0,-15.2383,-15.2383,0.0,4.2326,4.2326,0.0,-43.3683,-43.3683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
9,PQ,True,1.017976,1.017976,0.0,-4.0795,-4.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
10,PQ,True,1.014287,1.014287,0.0,-5.1683,-5.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
11,PQ,True,0.998944,0.998944,0.0,-5.0323,-5.0323,0.0,9.464,9.464,0.0,97.6361,97.6361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
12,PQ,True,1.014624,1.014624,0.0,-4.751,-4.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
13,PQ,True,1.011228,1.011228,0.0,-6.2844,-6.2844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
14,PQ,True,1.002268,1.002268,0.0,-5.8169,-5.8169,0.0,362.8895,362.8895,0.0,173.5066,173.5066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
15,PQ,True,1.016095,1.016095,0.0,-3.767,-3.767,0.0,317.1378,317.1378,0.0,31.1354,31.1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
16,PQ,True,1.018456,1.018456,0.0,-6.5952,-6.5952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55130
